Comment,Designator,Footprint,LCSC
LTST-C191KRKT,"LED1,LED2",LED0603-RD,C125099
TLC-PSMD010,F1,F0805,C261939
NASB0-S6701-TS50,CN1,CONN-SMD_67P-P0.50-V_NASB0-S6701-TS50,C367024
WS2812B-2020,"LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED4,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED5,LED50,LED51,LED52,LED53,LED55,LED56,LED57,LED59,LED6,LED60,LED61,LED63,LED64,LED65,LED67,LED68,LED7,LED71,LED72,LED8,LED9",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,C965555
MountingHole,H1,MountingHole_3.2mm_M3_Pad_TopBottom,
100n,C70,C_0402_1005Metric,
100n,C69,C_0402_1005Metric,
100n,C66,C_0402_1005Metric,
100n,C65,C_0402_1005Metric,
100n,C63,C_0402_1005Metric,
100n,C62,C_0402_1005Metric,
100n,C61,C_0402_1005Metric,
100n,C59,C_0402_1005Metric,
100n,C58,C_0402_1005Metric,
100n,C57,C_0402_1005Metric,
100n,C55,C_0402_1005Metric,
100n,C54,C_0402_1005Metric,
100n,C53,C_0402_1005Metric,
100n,C51,C_0402_1005Metric,
100n,C50,C_0402_1005Metric,
100n,C49,C_0402_1005Metric,
100n,C48,C_0402_1005Metric,
100n,C47,C_0402_1005Metric,
100n,C46,C_0402_1005Metric,
100n,C45,C_0402_1005Metric,
100n,C44,C_0402_1005Metric,
100n,C43,C_0402_1005Metric,
100n,C42,C_0402_1005Metric,
100n,C41,C_0402_1005Metric,
100n,C40,C_0402_1005Metric,
100n,C39,C_0402_1005Metric,
100n,C38,C_0402_1005Metric,
100n,C37,C_0402_1005Metric,
100n,C36,C_0402_1005Metric,
100n,C35,C_0402_1005Metric,
100n,C34,C_0402_1005Metric,
100n,C33,C_0402_1005Metric,
100n,C32,C_0402_1005Metric,
100n,C31,C_0402_1005Metric,
100n,C30,C_0402_1005Metric,
100n,C29,C_0402_1005Metric,
100n,C28,C_0402_1005Metric,
100n,C27,C_0402_1005Metric,
100n,C26,C_0402_1005Metric,
100n,C25,C_0402_1005Metric,
100n,C7,C_0402_1005Metric,
100n,C2,C_0402_1005Metric,
100n,C4,C_0402_1005Metric,
100n,C5,C_0402_1005Metric,
100n,C6,C_0402_1005Metric,
100n,C22,C_0402_1005Metric,
100n,C10,C_0402_1005Metric,
100n,C20,C_0402_1005Metric,
100n,C1,C_0402_1005Metric,
100n,C3,C_0402_1005Metric,
100n,C9,C_0402_1005Metric,
100n,C11,C_0402_1005Metric,
100n,C12,C_0402_1005Metric,
100n,C13,C_0402_1005Metric,
100n,C14,C_0402_1005Metric,
100n,C15,C_0402_1005Metric,
100n,C17,C_0402_1005Metric,
100n,C19,C_0402_1005Metric,
100n,C18,C_0402_1005Metric,
100n,C16,C_0402_1005Metric,
100n,C21,C_0402_1005Metric,
100n,C23,C_0402_1005Metric,
100n,C8,C_0402_1005Metric,
100n,C24,C_0402_1005Metric,
~,U2,NGFF_M,
470R,R1,R_0603_1608Metric,
470R,R2,R_0603_1608Metric,
